COMPANY_ID,RISK_RANK,RISK_SCORE,CALIBRATED_PROBABILITY
ESIK-01050,87,0.40889287,0.3055768224213229
ESIK-00760,88,0.40361026,0.3019321338789093
ESIK-05621,89,0.40274903,0.3013388380602432
ESIK-03623,90,0.39535645,0.2962563378302429
ESIK-05487,91,0.38053823,0.2861202358013007
ESIK-02800,92,0.3780418,0.284418959284038
ESIK-05596,93,0.34815252,0.2641721227941165
ESIK-03080,94,0.34323335,0.2608588884669806
ESIK-05640,95,0.3332489,0.2541476171678908
ESIK-04136,96,0.32335672,0.2475142541561826
ESIK-01377,97,0.31702933,0.2432783971943632
ESIK-04717,98,0.3053732,0.235487031690356
ESIK-01891,99,0.30499795,0.2352364422299668
ESIK-03525,100,0.30498648,0.2352287722292995
ESIK-00818,101,0.30227625,0.233419074223608
ESIK-03549,102,0.30158532,0.2329578212270868
ESIK-05572,103,0.28931883,0.2247737518096937
ESIK-03676,104,0.28423244,0.221382169117224
ESIK-03359,105,0.27910283,0.2179623792519688
ESIK-05299,106,0.26946723,0.2115386804657776
ESIK-05166,107,0.267688,0.2103523764045201
ESIK-00448,108,0.257397,0.2034883875423733
ESIK-03009,109,0.2506047,0.1989544660540982
ESIK-01688,110,0.2430374,0.1938983466206906
ESIK-03439,111,0.23524381,0.1886839936031197
ESIK-04473,112,0.22882771,0.1843846576291052
ESIK-05551,113,0.22846873,0.1841439108433117
ESIK-00873,114,0.2172529,0.1766096596873785
ESIK-03323,115,0.21534218,0.1753235069543331
ESIK-00700,116,0.20648776,0.1693517471987207
ESIK-05597,117,0.20226178,0.1664942103035247
