COMPANY_ID,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64
DEMO-011,0.11704,0.26569,0.5406,3.2335,45.28,-0.019836,0.14605,2.763,2.0068,0.7341,0.14822,0.60339,0.084992,0.14605,568.56,0.64197,3.7638,0.14605,0.072777,54.52,0.99394,0.14404,0.058322,0.56196,0.71857,0.53279,66.331,2.4872,4.5491,0.12269,0.073783,47.484,7.7214,7.0344,0.14626,2.0068,87.275,0.73964,0.072883,0.12141,0.052542,0.071777,137.0,82.483,0.39045,1.995,58.542,0.11953,0.059561,2.9458,0.24205,0.12951,3.3775,3.403,3.2335,0.072883,0.15943,0.92554,0.007537,6.6947,4.4251,44.023,8.291,9.233
DEMO-012,-0.062624,0.61756,0.2487,1.4027,-28.959,-0.07753,-0.063347,0.61434,0.98938,0.37939,-0.063347,-0.10258,-0.010053,-0.063347,-6526.9,-0.055923,1.6193,-0.063347,-0.01844,54.128,0.75056,-0.021444,-0.01823,-0.07596,0.37939,-0.054752,-0.06176,1.8596,3.5158,0.1642,-0.01844,64.919,5.6224,-0.034724,-0.021444,3.464,,0.37939,-0.006242,0.11295,2.7558,-0.006242,84.63,30.502,-0.12293,0.5778,53.553,-0.050256,-0.014629,1.4027,0.61756,0.17786,2.8368,2.8368,815.55,-0.010736,-0.16507,1.0107,0.0,6.7433,11.967,65.616,5.5627,25.686
DEMO-013,0.007567,0.38134,-0.08127,0.32988,-125.28,0.0,0.007567,1.6223,0.3929,0.61866,0.007567,0.062392,0.019325,0.007567,18332.0,0.019911,2.6223,0.007567,0.019259,0.85072,0.98801,0.0,0.019259,0.086654,0.59981,0.019911,,-0.084657,4.0268,0.96276,0.045187,182.13,2.004,0.63734,0.005632,0.3929,0.15034,0.87868,0.014335,0.044995,488.13,0.0,32.097,31.246,8.2628,0.32233,1.3753,-2.6e-05,-6.6e-05,0.10491,0.12128,0.49899,0.64444,0.9153,-864.48,0.38141,0.012231,0.62272,0.42029,429.05,11.681,112.66,3.2397,0.40927
DEMO-014,0.031879,0.57715,-0.049026,0.90716,-13.521,-0.21279,0.055416,0.73266,3.6163,0.42285,0.065081,0.10494,0.03183,0.055416,1830.1,0.19944,1.7327,0.055416,0.015324,7.0898,1.1368,0.048442,0.008815,0.088239,-0.077153,0.15866,5.0121,-0.094109,3.4706,0.15023,0.017997,53.332,6.8439,6.2621,0.002163,3.6163,,0.42285,0.000598,0.09111,0.17792,0.013396,43.496,36.406,0.45384,0.77415,7.094,-0.011247,-0.00311,0.83003,0.52808,0.14611,0.8117,0.8117,-144.87,0.000598,0.075391,0.98494,0.0,51.483,10.026,53.3,6.848,6.9418
DEMO-015,0.046325,0.29198,0.54809,3.7369,64.203,0.0,0.051001,2.4248,1.5186,0.70802,0.064524,0.25468,0.057783,0.051001,1214.6,0.30052,3.4248,0.051001,0.033585,70.015,1.2015,0.057198,0.030505,0.37038,0.38704,0.28451,4.2298,2.1779,5.084,0.01344,0.035657,50.263,7.2618,4.9806,0.064329,1.5186,57.58,0.71595,0.042361,1.3761,0.1036,0.037666,113.64,43.62,0.15903,2.2823,73.112,0.020452,0.013468,2.563,0.20026,0.13771,2.8134,2.845,66498.0,0.042361,0.065429,0.96695,0.011211,5.2132,8.3677,48.134,7.5831,6.0344
DEMO-016,0.058839,0.37498,-0.03702,0.90127,-49.848,0.007646,0.058839,1.6668,0.74892,0.62502,0.14698,0.15691,0.092469,0.058839,1976.4,0.18468,2.6668,0.058839,0.078564,21.328,1.1889,0.14405,0.078564,0.077958,0.54096,0.18468,1.6344,-0.055918,3.0754,0.3829,0.10091,228.61,1.5966,1.5966,0.15022,0.74892,,0.62502,0.20059,0.23706,0.08092,0.19235,121.39,100.06,1.3445,0.78457,26.68,0.13364,0.17844,0.90127,0.37498,0.62632,0.94408,0.94408,-44.039,0.20058,0.094138,0.92186,0.0,17.114,3.6479,182.75,1.9972,1.1312
DEMO-017,0.050646,0.53538,0.30018,1.5607,9.2717,0.0,0.070535,0.86783,2.0737,0.46462,0.11572,0.13175,0.037689,0.070535,2500.4,0.14598,1.8678,0.070535,0.034014,43.496,1.1113,0.10148,0.024423,0.41292,0.45827,0.10883,2.2458,1.8255,3.896,0.24475,0.037118,100.38,3.6361,3.6361,0.127,2.0737,,0.46462,0.061243,0.057834,0.16357,0.048939,141.62,98.126,0.20495,1.0991,46.334,0.093864,0.045264,1.5607,0.53538,0.27502,2.8255,2.8255,2362.4,0.061243,0.10901,0.96645,0.0,8.3915,3.7197,94.235,3.8733,12.611
DEMO-018,-0.1786,0.66436,0.19219,1.2893,-7.659,0.001413,-0.1786,0.5052,4.2223,0.33564,-0.16935,-0.26883,-0.033991,-0.1786,-1689.6,-0.21602,1.5052,-0.1786,-0.0423,23.556,1.2164,-0.17002,-0.0423,-0.005854,0.29193,-0.21602,-18.37,1.3398,3.0584,0.15617,-0.040283,55.027,6.6331,6.6331,-0.18451,4.2223,,0.33564,-0.043699,0.026582,-0.16412,-0.040267,72.52,48.963,-0.65543,0.87912,22.57,-0.2051,-0.048576,1.2893,0.66436,0.15076,2.3398,2.3398,219.87,-0.043699,-0.53213,1.0419,0.0,15.495,7.4546,57.432,6.3553,29.434
DEMO-019,-0.47658,0.9755,0.2342,1.3083,15.209,-0.27157,-0.47339,0.025129,4.4049,0.024514,-0.47339,-0.62323,-0.10747,-0.47339,-752.15,-0.48528,1.0251,-0.47339,-0.10747,2.1365,,-0.41456,-0.10819,-0.76019,-0.46051,-0.48855,-7.0279,37.628,4.2884,0.20604,-0.1021,61.083,6.4945,5.057,-0.30518,4.5186,4.6127,0.23437,-0.069281,0.089386,-0.078437,-0.094112,76.72,74.583,-18.484,0.12333,1.9078,-0.41456,-0.094112,1.0187,0.75957,0.15398,3.9386,37.655,4550.0,-0.030393,-19.441,1.0538,8.5606,170.84,4.8939,62.94,5.7992,707.73
DEMO-020,0.22965,0.2482,0.35543,2.4583,52.587,0.0,0.22965,3.029,1.1407,0.7518,0.22965,0.94222,0.20237,0.22965,392.43,0.93011,4.029,0.22965,0.20132,64.161,0.85735,0.0,0.20132,0.76471,0.64966,0.93011,,0.88672,4.8939,0.16324,0.40264,116.1,3.1439,3.0873,0.003986,1.1407,,0.7518,0.003495,0.43137,6.8865,0.0,158.07,93.912,1.1453,1.6356,95.516,-0.001201,-0.001053,2.414,0.24373,0.31808,1.8756,1.8756,27838.0,0.32827,0.30547,0.70785,0.0,5.6888,3.8866,77.988,4.6802,2.8459
DEMO-021,-0.51794,1.4851,-0.68336,0.51859,-168.12,-1.2465,-0.51794,-0.32661,2.0637,-0.48504,-0.42369,-0.36488,-0.23072,-0.51794,-1138.5,-0.32061,0.67335,-0.51794,-0.25098,78.03,1.0997,-0.42448,-0.25098,-1.071,-1.7645,-0.32061,-4.5036,-2.5903,4.2152,0.70947,-0.20785,207.12,1.7682,1.69,-0.43776,2.0862,,-0.48504,-0.21213,0.034552,-0.12936,-0.20569,121.52,43.493,-1.174,0.34535,64.373,-0.46629,-0.22595,0.49567,1.4195,0.56746,-1.8386,-1.8386,-11216.0,-0.21216,1.0678,1.2031,0.0,4.6777,8.3922,251.06,1.4538,7.8224
DEMO-022,0.056022,0.060775,-0.006315,0.8961,-11.057,-0.98999,0.056022,9.0076,0.65264,0.54744,0.056022,0.9218,0.57044,0.056022,172.77,2.1126,16.454,0.056022,0.2489,2.2177,0.38701,0.058661,0.2489,-0.98999,0.54744,2.1126,1.701,-0.006679,4.225,0.26708,0.2489,64.322,5.6745,0.96523,0.058661,0.43519,,0.54744,0.26063,0.022178,0.015249,0.26063,86.131,83.913,40.966,0.87359,1.4474,-0.013709,-0.060908,0.8961,0.060775,0.17623,0.57897,0.57897,-106.02,-0.53223,0.10234,1.5322,0.0,164.58,4.3497,98.557,3.7034,0.23804
DEMO-023,0.014362,0.79393,0.45735,1.8998,26.386,0.0,0.029397,0.25956,1.5103,0.20607,0.094609,0.057834,0.026344,0.029397,7283.5,0.050114,1.2596,0.029397,0.019465,82.465,1.5553,0.052671,0.00951,0.072589,0.19,0.031177,0.80768,13.312,3.8452,0.49515,0.036236,128.76,2.8347,1.8148,0.069404,1.5103,2.1861,0.49171,0.045955,0.11295,0.41966,0.034875,219.5,137.04,0.042091,1.2285,86.437,0.042281,0.027996,1.2163,0.50829,0.35277,5.9979,14.312,3202.3,0.045955,0.069696,0.98128,1.3861,4.4261,2.6635,122.84,2.9713,43.958
DEMO-024,0.1966,0.096081,0.38422,5.2056,192.09,0.43899,0.19429,8.8577,1.289,0.85105,0.19429,2.1267,0.294,0.19429,144.11,2.5328,10.408,0.19429,0.23473,29.553,1.0505,0.19844,0.23752,0.4342,0.85105,2.5569,3.0903,0.73264,4.7539,0.11408,0.23473,51.93,7.0287,2.0653,0.19844,0.84888,86.504,0.85577,0.23973,0.026235,0.012763,0.23973,208.65,179.1,2.9335,4.472,38.096,0.14937,0.18046,4.9497,0.091358,0.14227,1.6228,1.6318,21802.0,0.22423,0.23101,0.77577,0.00555,12.351,2.038,40.285,9.0604,1.5784
DEMO-025,0.010279,0.56876,0.22499,1.5814,-7.3789,0.0,0.022516,0.75821,1.2313,0.43124,0.084012,0.058181,0.093579,0.022516,1801.8,0.20258,1.7582,0.022516,0.018287,72.591,1.0566,0.046651,0.008349,0.17123,0.36647,0.18107,0.75861,0.57986,4.3118,0.43965,0.032198,113.13,3.2264,2.1953,-0.017346,1.2313,2.6941,0.56751,-0.014088,0.080742,0.13605,0.037889,172.16,99.567,0.041979,0.94863,71.583,-0.046053,-0.037403,1.076,0.387,0.30994,1.1114,1.4626,4613.2,-0.014088,0.023837,0.98318,0.31599,5.0282,3.6659,114.72,3.1816,3.1733
DEMO-026,-0.053174,0.12634,0.29549,3.3387,40.213,0.0,-0.053174,6.9149,1.4545,0.87366,-0.043186,-0.42086,-0.024594,-0.053174,-1289.2,-0.28313,7.9149,-0.053174,-0.036558,32.416,0.94291,-0.044752,-0.036558,-0.091432,0.58539,-0.28313,-4.4806,0.51107,2.9225,0.007835,-0.03648,30.779,11.859,11.859,-0.043799,1.4545,,0.87366,-0.030113,0.91685,-0.15399,-0.030768,76.788,44.372,-0.41164,2.3163,31.468,-0.062154,-0.042732,3.3387,0.12634,0.084326,1.5111,1.5111,247.21,-0.030113,-0.060863,1.0365,0.0,11.26,8.226,31.706,11.512,2.5157
DEMO-027,0.087493,0.31804,0.35994,2.1423,30.516,0.31276,0.087493,2.1012,1.0437,0.66827,0.087493,0.27766,0.065728,0.087493,918.27,0.39748,3.1443,0.087493,0.045491,37.08,1.0733,0.085784,0.045491,0.31276,0.66827,0.39748,0.46551,1.1077,4.808,0.14981,0.045491,62.413,5.8481,0.26973,0.085784,1.9461,163.76,0.6712,0.044602,0.13189,0.083846,0.044602,120.22,83.142,0.4478,1.5222,38.7,0.046862,0.024366,2.1226,0.31511,0.171,2.0565,2.0655,23130.0,0.041862,0.13092,0.95814,0.004383,9.8435,4.3901,59.8,6.1036,5.9187
DEMO-028,-0.10395,0.9201,-0.21018,0.77157,-36.009,0.0,-0.10395,0.086842,2.5422,0.079904,-0.094572,-0.11298,0.013259,-0.10395,9963.3,0.036635,1.0868,-0.10395,-0.040891,8.5258,1.521,-0.38462,-0.040891,-0.82787,-0.097039,0.036635,-40.998,-0.72455,2.4511,0.2735,-0.037201,114.74,3.181,3.181,-0.38462,2.5422,,0.079904,-0.15129,0.25457,-0.12419,-0.15129,68.299,59.773,-1.7506,0.70703,7.4054,-0.52228,-0.20544,0.77157,0.9201,0.31437,0.27546,0.27546,-59.391,-0.15129,-1.301,1.0367,0.0,42.811,6.1064,132.1,2.763,8.7639
DEMO-029,0.017273,0.64308,0.21456,1.3336,-104.75,0.065446,0.017273,0.55501,1.4882,0.35692,0.041768,0.026859,0.017874,0.017273,8824.5,0.041362,1.555,0.017273,0.011607,156.13,0.90974,0.028591,0.011607,0.23884,0.083617,0.041362,1.1672,1.5073,2.4664,0.41714,0.015229,160.81,2.2698,2.2698,0.028506,1.4882,,0.35692,0.019155,0.03469,0.56534,0.019212,204.88,48.752,0.027134,0.34378,159.18,0.019264,0.012945,1.3336,0.64308,0.44057,2.5073,2.5073,62.806,0.019155,0.048394,0.9885,0.0,2.3378,7.4869,157.73,2.3141,10.454
DEMO-030,0.14472,0.02937,0.91812,32.26,63.12,0.0,0.14472,33.048,2.6136,0.97063,0.14556,4.9273,0.061412,0.14472,66.79,5.4649,34.048,0.14472,0.055371,67.958,1.3507,0.13844,0.055371,,0.80002,5.4649,164.62,17.485,4.4429,-0.030714,0.055371,4.3372,84.156,84.156,0.14189,2.6136,,0.97063,0.054288,3.7638,0.006348,0.05297,116.88,48.925,0.29739,15.692,71.859,0.12265,0.046929,32.26,0.02937,0.011883,18.485,18.485,25457.0,0.054288,0.1491,0.94478,0.0,5.371,7.4604,4.1017,88.987,49.775
